,author,country,institution
75,Da-wei Li,United States,University of Vermont
76,Daniel D. Lee [Tech],United States,Cornell University
77,Daniel Hughes,Belgium,KU Leuven
78,Daniel Rivero,Spain,University of A Coruña
79,Daniel Russo,Denmark,Aalborg University
80,Daniele Magazzini,United Kingdom,King's College London
81,Danny Rakita,United States,Yale University
82,Dany Dubé,Canada,Université Laval
83,Daria Siekhaus,Austria,IST Austria
84,Dave Robertson,United Kingdom,University of Edinburgh
85,David Andersen,United States,Carnegie Mellon University
86,David Andrew Ross,Australia,University of Queensland
87,David Bainbridge,New Zealand,University of Waikato
88,David Carrera,Spain,Polytechnic University of Catalonia
89,David J. Feil-Seifer,United States,University of Nevada
90,David J. Pearce,New Zealand,Victoria University of Wellington
91,David Kaeli,United States,Northeastern University
92,David L. Roberts,United States,North Carolina State University
93,David May,United Kingdom,University of Bristol
94,David Pearce 0005,New Zealand,Victoria University of Wellington
95,David Yau,Singapore,SUTD
96,Deborah Richards,Australia,Macquarie University
97,Denis Nikitenko,Canada,University of Guelph
98,Deying Li,China,Renmin University of China
99,Dhabaleswar K. Panda,United States,Ohio State University
100,Di Ma,United States,University of Michigan-Dearborn
101,Dieter Otte,United States,Northern Arizona University
102,Dilip P. Patil,India,IISc Bangalore
103,Don Cleland,New Zealand,Massey University
104,Donald Sheehy,United States,North Carolina State University
105,Dong Nguyen,Netherlands,Utrecht University
106,Doo­Hwan Bae,"Korea, Republic of",KAIST
107,Drew Hendrickson,Netherlands,Tilburg University
108,E.M.J. Huis in 't Veld,Netherlands,Tilburg University
109,Edward Alexandru Todirica,Denmark,DTU
110,Eilish O'Rourke,Australia,UNSW
111,Elf Eldridge,New Zealand,Victoria University of Wellington
112,Elias Procópio Duarte Júnior,Brazil,UFPR
113,Elisa Ricci,Italy,University of Trento
114,Elizabeth O'Neil,United States,University of Massachusetts Boston
115,Emad M. Al-Shawakfa,Jordan,JUST
116,Emanuel da Silva Diaz Estrada,Brazil,Federal University of Rio Grande
117,Emmanuel Turner,New Zealand,University of Waikato
118,Erden Tugcu,Turkey,Galatasaray University
119,Erik Andreas Martens,Denmark,DTU
120,Erland Holmström,Sweden,Chalmers/GU
121,Essam Mansour,Canada,Concordia University
122,Estrid He,Australia,RMIT University
123,Ethel Chuajoy Ong,Philippines,De La Salle University
124,Eva Benkova,Austria,IST Austria
125,Eva M. Navarro-Lopez,United Kingdom,University of Manchester
126,Eva Rodriguez,Spain,Polytechnic University of Catalonia
127,Fadil Galjic,Sweden,KTH Royal Institute of Technology
128,Fahrad Arbab,Netherlands,CWI
129,Fangchu Yang,China,BUPT
130,Fangxing Li,United States,University of Tennessee
131,Federico Giovanni Poloni,Italy,University of Pisa
132,Feng W. Zhu,United States,University of Alabama - Huntsville
133,Fernando Moraes,Brazil,PUC-RS
134,Flemming Stassen,Denmark,DTU
135,Flávio Oliveira Silva,Brazil,UFU
136,Foteini Paraskeva,Greece,University of Piraeus
137,Francesco Musumeci,Italy,Politecnico di Milano
138,Francesco Palmieri,Italy,University of Salerno
139,Francisco García-Sánchez,Spain,University of Murcia
140,Francisco Gomes,Sweden,Chalmers/GU
141,Francisco Jordan Fernandez,Spain,Polytechnic University of Catalonia
142,Frank Huess Hedlund,Denmark,DTU
143,Frank Kramer,Germany,University of Augsburg
144,Frank Mueller,United States,North Carolina State University
145,Frank Stephan,Singapore,National University of Singapore
146,Gabriel Mark Kuper,Italy,University of Trento
147,Gaia Novarino,Austria,IST Austria
148,Garry Marling,Australia,University of Queensland
149,Gary Baumgartner,Canada,University of Toronto
150,Gary Clifford,United States,Emory University
151,Gary F. Pollice,United States,Worcester Polytechnic Institute
152,Georg Danzl,Austria,IST Austria
153,George Chailos,Cyprus,University of Nicosia
154,George Fletcher,Netherlands,TU Eindhoven
155,George Georgakopoulos,Greece,University of Crete
156,Georgios Katsaros,Austria,IST Austria
157,Gianpolo Cugola,Italy,Politecnico di Milano
158,Gong Gu,United States,University of Tennessee
159,Gregory Hooper,Australia,University of Queensland
160,Guido A. Maier,Italy,Politecnico di Milano
161,H. Bast 0001,Germany,University of Freiburg
162,Hamdy Soliman,United States,New Mexico Tech
163,Hana Hagras,United Kingdom,University of Essex
164,Hans Burg,Netherlands,VU Amsterdam
165,Hansenclever de França Bassani,Brazil,UFPE
166,Harald Janovjak,Austria,IST Austria
167,Harris E. Psillakis,Greece,NTUA
168,Hasan Krad,Qatar,Qatar University
169,Helle Hein,Estonia,University of Tartu
170,HeuiSeok Lim,"Korea, Republic of",Korea University
171,Hiroyuki Kido,United Kingdom,Cardiff University
172,Hitoshi Yoshikawa,Japan,Kyoto University
173,Hossein Asadi,"Iran, Islamic Republic of",Sharif University of Technology
174,Humberto Martínez Barbera,Spain,University of Murcia
175,Hyungsoo Jung,"Korea, Republic of",Hanyang University
176,Hélio Lopes,Brazil,PUC-RIO
177,IL-Chul Moon,"Korea, Republic of",KAIST
178,Ioannis Katakis,Cyprus,University of Nicosia
179,Isil Oz,Turkey,Izmir Institute of Technology
180,J. A. dos Santos,Brazil,UFMG
181,J. Blustein,Canada,Dalhousie University
182,J. Eric Fosler,United States,Ohio State University
183,J. G. Tanenbaum 0001,United States,Univ. of California - Irvine
184,J. Jay Barber,United States,Northern Arizona University
185,James Alexander Hendler,United States,Rensselaer Polytechnic Institute
186,James Elder,Canada,York University
187,James P. Clements,United States,Clemson University
188,James P. Parkerson,United States,University of Arkansas
189,James Wittig,United States,Vanderbilt University
190,Jan Ehlers,Germany,Bauhaus University Weimar
191,Jan Ingemar Markendahl,Sweden,KTH Royal Institute of Technology
192,Jan Prins,United States,University of North Carolina
193,Jane Hunter,Australia,University of Queensland
194,Janet Hughes,United Kingdom,Open University UK
195,Jaqueline Smith,Canada,University of Toronto
196,Jason Jue,United States,University of Texas at Dallas
197,Javier Cuenca,Spain,University of Murcia
198,Jay Jackson,United States,Rochester Institute of Technology
199,Jeanette Hällgren Kotaleski,Sweden,KTH Royal Institute of Technology
200,Jeff Gray,United States,The University of Alabama
201,Jeffrey Carver,United States,The University of Alabama
202,Jerome Harri,France,EURECOM
203,Jesus García Molina,Spain,University of Murcia
204,Jia-Fu Xu,China,Nanjing University
205,Jian-Xin Wu,China,Nanjing University
206,Jim Ji,Qatar,Texas A&M at Qatar
207,Jimmy J. Lin,Canada,University of Waterloo
208,Jing Hua,United States,Wayne State University
209,Jing-Ling Xue,Australia,UNSW
210,Jingjing Li 01,China,UESTC
211,Jingtao Yao,Canada,University of Regina
212,Jiri Friml,Austria,IST Austria
213,Joachim von Hacht,Sweden,Chalmers/GU
214,Joaquin Vaschoren,Netherlands,TU Eindhoven
215,Joemon Jose,United Kingdom,University of Glasgow
216,Johan Sebastian Heesemann Rosenkilde,Denmark,DTU
