80/8148;Mikko Kivelä;Aalto University;fi;https://people.aalto.fi/new/mikko.kivela;Z3913I0AAAAJ
93/99;Antti Oulasvirta;Aalto University;fi;http://users.comnet.aalto.fi/oulasvir;_z41TLwAAAAJ
28/8663;Vikas K. Garg;Aalto University;fi;https://research.aalto.fi/en/persons/vikas-garg;JFT_m9kAAAAJ
28/3392;Casper Lassenius;Aalto University;fi;https://people.aalto.fi/casper_lassenius;rQHJ67UAAAAJ
98/11225;Arno Solin;Aalto University;fi;https://people.aalto.fi/arno.solin;U_fJCnAAAAAJ
47/4656;Juho Kannala;Aalto University;fi;https://users.aalto.fi/~kannalj1;c4mWQPQAAAAJ
64/5826;Samuel Kaski;Aalto University;fi;https://users.ics.aalto.fi/sami;NOSCHOLARPAGE
50/1947;Parinya Chalermsook;Aalto University;fi;https://people.aalto.fi/new/parinya.chalermsook;Cw6NQasAAAAJ
50/6770;Kari Smolander;Aalto University;fi;https://people.aalto.fi/new/kari.smolander;f1w2dAwAAAAJ
v/PVuorimaa;Petri Vuorimaa;Aalto University;fi;https://people.aalto.fi/petri_vuorimaa;Bcg93pAAAAAJ
88/5874;Chris Brzuska;Aalto University;fi;http://chrisbrzuska.de;an-NQV4AAAAJ
30/1339;Tapio Lokki;Aalto University;fi;https://users.aalto.fi/~ktlokki;vz4vC1cAAAAJ
173/2941;Maarit J. Käpylä;Aalto University;fi;https://research.aalto.fi/en/persons/maarit-k%C3%A4pyl%C3%A4;O8p_qKwAAAAJ
32/894;Pekka Marttinen;Aalto University;fi;https://research.aalto.fi/en/persons/pekka-marttinen;NOSCHOLARPAGE
41/6988;Petteri Kaski;Aalto University;fi;https://users.ics.aalto.fi/pkaski;HuV9_EkAAAAJ
48/6098;Hong Linh Truong 0001;Aalto University;fi;https://research.aalto.fi/en/persons/linh-truong;juCwRycAAAAJ
48/1923;Mario Di Francesco;Aalto University;fi;https://users.aalto.fi/~difram1;xuJ3KAYAAAAJ
40/5738;Lauri Savioja;Aalto University;fi;https://mediatech.aalto.fi/~las;wTfO6z0AAAAJ
40/7401;Jara Uitto;Aalto University;fi;https://users.aalto.fi/~uittoj3;yzmXt14AAAAJ
f/GSFrandsen;Gudmund Skovbjerg Frandsen;Aarhus University;dk;http://cs.au.dk/~gudmund;bHvSLToAAAAJ
94/1667;Marianne Graves Petersen;Aarhus University;dk;http://au.dk/en/mgraves@cs;vgP6E1oAAAAJ
163/1794;Amin Timany;Aarhus University;dk;https://cs.au.dk/~timany;Cgs2hEgAAAAJ
d/IvanDamgaard;Ivan Bjerre Damgård;Aarhus University;dk;https://cs.au.dk/~ivan;-UhqXIEAAAAJ
86/4928;Niels Olof Bouvin;Aarhus University;dk;http://pure.au.dk/portal/en/persons/niels-olof-bouvin(a100614b-adba-4dfe-9ada-8df77bfed841).html;Xr8ZJ3kAAAAJ
m/OLMadsen;Ole Lehrmann Madsen;Aarhus University;dk;https://pure.au.dk/portal/en/persons/ole-lehrmann-madsen(edbb51a2-ec05-4400-b3ce-24037bad9857).html;CTxgVxsAAAAJ
43/4040;Jesper Buus Nielsen;Aarhus University;dk;https://pure.au.dk/portal/en/persons/jesper-buus-nielsen(f428c4b3-80b3-403a-ada6-9ecb0fad97b2).html;PoDj4lsAAAAJ
43/10082;Magnus Madsen;Aarhus University;dk;https://cs.au.dk/~magnusm;FuOCN_oAAAAJ
00/1405;Hans-Jörg Schulz;Aarhus University;dk;https://cs.au.dk/~hjschulz;FJKZr4sAAAAJ
00/10576;Peter Alexander Scholl;Aarhus University;dk;https://pascholl.github.io;1k1mPNAAAAAJ
